Execution_Rep.csv
Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason,Transaction Time
ord1,aa13,Rose,1,0,100,55.00,,20231213-155936.006
ord2,aa14,Rose,1,0,100,65.00,,20231213-155936.007
ord3,aa15,Rose,2,3,100,65.00,,20231213-155936.007
ord2,aa14,Rose,1,2,100,65.00,,20231213-155936.007
ord3,aa15,Rose,2,3,100,55.00,,20231213-155936.007
ord1,aa13,Rose,1,2,100,55.00,,20231213-155936.008
ord4,aa16,Rose,1,2,100,1.00,,20231213-155936.008
ord3,aa15,Rose,2,2,100,1.00,,20231213-155936.008
Execution_Rep.csv
Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason,Transaction Time
ord1,aa13,Rose,1,0,100,55.00,,20231217-102330.305
ord2,aa14,Rose,1,0,100,65.00,,20231217-102330.306
ord3,aa15,Rose,2,3,100,65.00,,20231217-102330.306
ord2,aa14,Rose,1,2,100,65.00,,20231217-102330.306
ord3,aa15,Rose,2,3,100,55.00,,20231217-102330.306
ord1,aa13,Rose,1,2,100,55.00,,20231217-102330.307
ord4,aa16,Rose,1,2,100,1.00,,20231217-102330.307
ord3,aa15,Rose,2,2,100,1.00,,20231217-102330.307
