Execution_Rep.csv
Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason,Transaction Time
ord1,aa13,Rose,2,0,100,55.00,,20231213-155915.155
ord2,aa14,Rose,2,0,100,45.00,,20231213-155915.156
ord3,aa15,Rose,1,2,100,45.00,,20231213-155915.156
ord2,aa14,Rose,2,2,100,45.00,,20231213-155915.156
Execution_Rep.csv
Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason,Transaction Time
ord1,aa13,Rose,2,0,100,55.00,,20231217-102108.410
ord2,aa14,Rose,2,0,100,45.00,,20231217-102108.411
ord3,aa15,Rose,1,2,100,45.00,,20231217-102108.411
ord2,aa14,Rose,2,2,100,45.00,,20231217-102108.411
